Compétences Pronote;"OBJECTIFS NON ATTEINTS
1";"OBJECTIFS PARTIELLEMENT ATTEINTS
2";"OBJECTIFS PATTEINTS
3";OBJECTIFS DEPASSE 4;%
Préparer-planifier-se représenter une action avant de la réaliser;Les projets ne sont pas respectés, l’élève est en dessous de son projet sur chaque course. ;Les projets ne sont pas respectés sur l’ensemble des courses. L’élève est constamment soit au dessus, soit en dessous de son projet. ;Les projets sont respectés dans au moins 2 courses, sur la 3e l’élève est soit en dessous soit au dessus. ;Les projets sont respectés à un plot près sur toutes les courses. ;25 %
Préparer-planifier-se représenter une action avant de la réaliser;Je ne connais pas mon projet. Je ne sais plus ou j’en suis dans la course. Je marche beaucoup. ;Je ne suis pas sur de mon projet, je me trompe. Je ne sais pas toujours ou j’en suis dans ma course. J’alterne régulièrement course et marche dans ma course. ;Je connais mon projet. J’oublie parfois ou j’en suis dans ma course, l’observateur m’aide. Mon allure de course est irrégulière ponctuée de course rapide et course lente. ;Je connais mon projet. Je sais ou j’en suis dans ma course, mon allure de course est régulière. ;20 %
Adapter l’intensité de son engagement physique à ses possibilités pour ne pas se mettre en danger;L’intensité moyenne des courses est inférieure à 90% ;L’intensité moyenne des courses est comprise entre 90 et 94%;L’intensité moyenne des courses est comprise entre 95 et 99%;L’intensité moyenne des course est supérieur ou égal à 100%. L’élève court avec fluidité, régulièrement à la même vitesse tout au long de la course. ;20 %
Prendre et assumer des responsabilités au sein d’un collectif pour réaliser un projet ou remplir un contrat;L’observation n’est pas fiable. L’observateur se trompe car il n’est pas concentré ou triche pour faire correspondre le projet et la réalisation du projet. ;L’observateur n’est pas totalement fiable, il se trompe parfois d’un ou deux plots. C’est l’enseignant ou le coureur qui le corrige. ;L’observateur est fiable et concentré. ;L’observateur est fiable et concentré et est capable de donné des indications précises pour aider le coureur à varier son allure. ;20 %
Connaitre les effets d’une pratique physique régulière sur son état de bien-être et de santé;Ne s’échauffe pas ou pas sérieusement sur l’ensemble de l’échauffement. ;L’élève ne s’échauffe pas sérieusement, l’échauffement est incomplet. L’élève rigole, joue ou est passif pendant une partie de l’échauffement. ;L’élève s’échauffe sérieusement mais à besoin de cadre pour faire l’échauffement complètement (par son camarade ou l’enseignant). ;L’élève s’échauffe sérieusement et en autonomie. Il est leader de son binôme. ;15 %
